,Country Name,Happiness Score,Life Expectancy,GDP per Capita,Alcohol (Liters/Person/Year),Unemployment Rate,Birth Rate,Country
0,Afghanistan,1.721,66.035,415.707417059086,0.01,11.12,32.49,AFG
1,Albania,5.304,79.602,8575.17113446213,4.4,12.33,11.78,ALB
2,Algeria,5.364,76.261,5364.02795022731,0.59,11.7,24.28,DZA
3,Argentina,6.188,77.395,14187.4827252965,7.95,9.79,17.02,ARG
4,Armenia,5.455,77.4658536585366,8053.01066312345,3.77,16.99,13.99,ARM
5,Australia,7.057,83.0512195121951,64820.9117890026,9.51,5.27,12.6,AUS
6,Austria,6.905,81.5414634146342,56033.573792065,11.9,4.67,9.7,AUT
7,Azerbaijan,4.893,74.429,7125.90858368611,1.38,5.51,14.0,AZE
8,Bahrain,5.959,81.284,29218.8605634137,1.18,0.71,13.99,BHR
9,Bangladesh,3.886,74.672,2551.01772674142,0.0,4.19,18.18,BGD
10,Belgium,6.894,82.3975609756098,54700.9093236712,9.15,5.59,10.3,BEL
11,Benin,4.377,60.774,1394.37330217623,1.25,2.23,36.22,BEN
12,Bolivia,5.784,68.581,3686.27996490544,2.98,3.5,21.75,BOL
13,Bosnia and Herzegovina,5.877,77.85,8638.66620201187,5.46,18.42,8.11,BIH
14,Botswana,3.383,69.163,7820.23240375076,5.98,18.19,24.82,BWA
15,Brazil,6.272,75.848,10294.866680778,6.12,12.08,13.92,BRA
16,Bulgaria,5.463,75.7073170731707,15885.5391311331,11.18,4.34,8.9,BGR
17,Burkina Faso,4.548,61.092,882.689810086163,7.28,6.26,37.93,BFA
18,Cambodia,4.341,70.668,2429.74853452838,4.56,0.68,22.46,KHM
19,Cameroon,4.874,63.7,1736.86091073524,4.09,3.38,35.39,CMR
20,Canada,6.9,81.6465853658537,53431.1857063879,8.0,5.56,10.1,CAN
21,Chad,4.471,55.069,680.639877912029,0.55,1.89,42.17,TCD
22,Chile,6.36,81.167,17067.8136150601,7.8,7.09,12.43,CHL
23,China,5.973,77.953,12614.0617416421,4.48,4.32,10.9,CHN
24,Colombia,5.695,77.725,6947.35928681966,4.09,9.71,14.88,COL
25,Comoros,3.566,66.777,1590.31237688317,0.18,4.34,31.88,COM
26,Costa Rica,6.955,80.799,16942.0268119375,3.07,11.85,13.97,CRI
27,Croatia,5.942,78.4731707317073,21865.4562838641,9.64,6.93,9.0,HRV
28,Cyprus,6.068,81.648,36551.41796875,9.59,7.27,10.46,CYP
29,Denmark,7.583,81.8536585365854,68453.8769281145,9.16,4.91,10.6,DNK
30,Dominican Republic,5.823,73.72,10717.6276712204,5.56,5.84,19.51,DOM
31,Ecuador,5.725,77.392,6609.80408154957,3.05,3.97,19.72,ECU
32,El Salvador,6.469,72.099,5391.06926181338,2.94,4.11,18.25,SLV
33,Estonia,6.448,78.490243902439,30133.304450454,11.65,5.11,10.9,EST
34,Eswatini,3.502,64.123,3610.60879677551,7.68,0.0,0.0,SWZ
35,Ethiopia,3.861,67.315,1272.01628209211,1.16,2.08,32.34,ETH
36,Finland,7.741,81.6853658536585,52925.6897638424,8.23,6.59,8.6,FIN
37,France,6.609,82.9292682926829,44690.9345395117,11.44,8.43,11.3,FRA
38,Gabon,5.106,68.337,7802.83659565049,6.47,20.0,31.61,GAB
39,Georgia,5.185,74.496,8283.66960242964,7.45,14.4,13.47,GEO
40,Germany,6.719,80.5414634146342,54343.2265084958,10.56,3.04,9.5,DEU
41,Ghana,4.289,65.498,2260.28741289427,1.59,4.33,29.41,GHA
42,Greece,5.934,81.5365853658537,23400.7278817691,6.33,17.24,8.1,GRC
43,Guatemala,6.287,72.602,5762.82174615918,1.63,2.46,24.56,GTM
44,Guinea,5.023,60.74,1541.04050914957,0.33,4.3,36.36,GIN
45,Honduras,5.968,72.884,3231.65724461936,2.73,5.39,21.6,HND
46,Hungary,6.017,76.7707317073171,22141.8669799276,10.79,3.4,9.6,HUN
47,Iceland,7.525,82.6073170731707,79636.9548578508,7.72,2.84,12.0,ISL
48,India,4.054,72.003,2480.79208721621,3.09,5.36,17.86,IND
49,Indonesia,5.568,71.146,4876.31432703188,0.08,4.69,18.07,IDN
50,Iraq,5.166,72.324,5565.12644647176,0.16,12.82,29.08,IRQ
51,Israel,7.341,83.1951219512195,52642.4267486308,3.07,3.86,20.8,ISR
